Fire_ID,Fire_Date,Before_Date,After_Date,Before_File,After_File,Total_Valid_Pixels,Excluded_Pixels,Excluded_Percentage,Total_Burned_Pixels,Total_Burned_%,Enhanced_Regrowth_%,Unburned_%,Low_Severity_%,Moderate_Severity_%,High_Severity_%,Most_Common_Severity,Fire_Impact_Assessment,Damage_Assessment,PreFire_NBR_Mean,PostFire_NBR_Mean,dNBR_Mean,Has_LandCover_Data,Dominant_LandCover,Dominant_LandCover_%,Most_Vulnerable_HighSeverity,Most_Vulnerable_HighSeverity_%,Most_Vulnerable_ModerateSeverity,Most_Vulnerable_ModerateSeverity_%,Most_Vulnerable_LowSeverity,Most_Vulnerable_LowSeverity_%,Field/Agriculture_Pixels,Field/Agriculture_%_of_Total,Field/Agriculture_EnhancedRegrowth_%,Field/Agriculture_Unburned_%,Field/Agriculture_LowSeverity_%,Field/Agriculture_ModerateSeverity_%,Field/Agriculture_HighSeverity_%,Field/Agriculture_ModerateHigh_%,Field/Agriculture_LowModerateHigh_%,Field/Agriculture_Vulnerability_Index,Coniferous_Forest_Pixels,Coniferous_Forest_%_of_Total,Coniferous_Forest_EnhancedRegrowth_%,Coniferous_Forest_Unburned_%,Coniferous_Forest_LowSeverity_%,Coniferous_Forest_ModerateSeverity_%,Coniferous_Forest_HighSeverity_%,Coniferous_Forest_ModerateHigh_%,Coniferous_Forest_LowModerateHigh_%,Coniferous_Forest_Vulnerability_Index,Deciduous_Forest_Pixels,Deciduous_Forest_%_of_Total,Deciduous_Forest_EnhancedRegrowth_%,Deciduous_Forest_Unburned_%,Deciduous_Forest_LowSeverity_%,Deciduous_Forest_ModerateSeverity_%,Deciduous_Forest_HighSeverity_%,Deciduous_Forest_ModerateHigh_%,Deciduous_Forest_LowModerateHigh_%,Deciduous_Forest_Vulnerability_Index,Water_Pixels,Water_%_of_Total,Water_EnhancedRegrowth_%,Water_Unburned_%,Water_LowSeverity_%,Water_ModerateSeverity_%,Water_HighSeverity_%,Bare_and_Urban_Territories_Pixels,Bare_and_Urban_Territories_%_of_Total,Bare_and_Urban_Territories_EnhancedRegrowth_%,Bare_and_Urban_Territories_Unburned_%,Bare_and_Urban_Territories_LowSeverity_%,Bare_and_Urban_Territories_ModerateSeverity_%,Bare_and_Urban_Territories_HighSeverity_%
1,2025-08-12,2025-07-28,2025-08-12,square_10km_allbands_before_001_20250728.tif,square_10km_allbands_after_001_20250812.tif,924757,99383,9.70404436893394,319883,34.5910331038316,0.120139669123889,65.2888272270445,39.5075699552649,38.4581237514966,22.0343062932385,Low Severity,MODERATE (10-50%),CATASTROPHIC (>20% high severity),0.11872373,0.014966467,0.10375726,Yes,Field/Agriculture,47.5519514856335,Coniferous Forest,8.72352786932446,Deciduous Forest,24.0162754924825,Field/Agriculture,14.7896484286169,439740,42.9374890151737,0.243325601491791,71.8535953063174,14.7896484286169,6.64210669941329,6.47132396416064,13.1134306635739,27.9030790921908,1.70188507021133,194497,18.9912511961255,0.0128536686941187,65.2822408571855,13.1642133297686,12.8171642750274,8.72352786932446,21.5406921443518,34.7049054741204,1.87204444444444,282142,27.5491632003437,0.00141772582600251,55.1275598811946,12.2789233790077,24.0162754924825,8.57582352148918,32.5920990139717,44.8710223929794,1.91747235387046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025-08-17,2025-08-02,2025-08-17,square_10km_allbands_before_002_20250802.tif,square_10km_allbands_after_002_20250817.tif,1009018,0,0,171242,16.9711541320373,0.394244701283823,82.6346011666789,51.3332009670525,36.7117879959356,11.9550110370119,Low Severity,MODERATE (10-50%),SIGNIFICANT (10-20% high severity),0.1652624,0.11159126,0.053671174,Yes,Field/Agriculture,46.1891661001092,Coniferous Forest,3.72483907721372,Deciduous Forest,9.55832030818059,Coniferous Forest,11.2680033888732,466057,46.1891661001092,0.49693492426892,87.0095288773691,7.97842324007579,3.82442490939949,0.690688048886724,4.51511295828622,12.493536198362,1.41667954728906,205378,20.3542454148489,0.428965127715724,78.3097508009621,11.2680033888732,6.26844160523523,3.72483907721372,9.99328068244895,21.2612840713221,1.64521595749553,334609,33.1618464685467,0.231015902142501,79.1852580175668,8.16983404510937,9.55832030818059,2.85557172700077,12.4138920351814,20.5837260802907,1.7418221415608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-09-16,2025-09-01,2025-09-16,square_10km_allbands_before_003_20250901.tif,square_10km_allbands_after_003_20250916.tif,958613,60475,5.93422746612658,91474,9.54232834313743,0.0216980157790474,90.4359736410835,56.7855346874522,32.9951680258871,10.2192972866607,Low Severity,MINOR (<10%),SIGNIFICANT (10-20% high severity),0.051513955,0.02059529,0.030918691,Yes,Field/Agriculture,39.8812659540399,Deciduous Forest,3.66926288980365,Deciduous Forest,8.65891889376356,Deciduous Forest,15.5147248581667,382307,37.5146209159562,0.047867289900525,96.504641557701,1.6523369961837,1.7886149089606,0.00653924725417008,1.79515415621477,3.44749115239847,1.52261001517451,329696,32.3520638060697,0.00727943317480346,96.4749344851014,2.53536591284092,0.801647578375231,0.180772590507619,0.98242016888285,3.51778608172377,1.33066045869978,236369,23.1941696889768,0,72.1570933582661,15.5147248581667,8.65891889376356,3.66926288980365,12.3281817835672,27.8429066417339,1.57456087035799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2025-09-16,2025-08-27,2025-09-16,square_10km_allbands_before_004_20250827.tif,square_10km_allbands_after_004_20250916.tif,977861,79949,7.55797354912508,26032,2.66213705219863,0.000409056092839371,97.3374538917085,30.239704978488,14.1287645974186,55.6315304240934,High Severity,MINOR (<10%),CATASTROPHIC (>20% high severity),0.36800483,0.34104934,0.026955439,Yes,Coniferous Forest,39.0205765441101,Field/Agriculture,4.67134322369607,Field/Agriculture,0.872859081032742,Field/Agriculture,0.948005889333574,294091,27.8018736824193,0.00136012322716438,93.5064316827105,0.948005889333574,0.872859081032742,4.67134322369607,5.54420230472881,6.49220819406238,2.57350861572304,381567,36.0714116901901,0,98.7236841760425,0.831308787185475,0.268629100524941,0.176377936247107,0.445007036772048,1.27631582395752,1.48685831622177,299075,28.27303580038,0,99.3319401487921,0.62526122210148,0.0237398645824626,0.0190587645239488,0.0427986291064114,0.668059851207891,1.09259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025-07-26,2025-07-08,2025-07-26,square_10km_allbands_before_005_20250708.tif,square_10km_allbands_after_005_20250726.tif,944586,116310,10.963374355262,29386,3.11099254064744,0.0016938637667719,96.8873135955858,82.4746477914653,11.0120465527802,6.51330565575444,Low Severity,MINOR (<10%),MINOR (<10% high severity),0.32586727,0.2966469,0.029220397,Yes,Coniferous Forest,58.5322035262009,Field/Agriculture,0.248697390203154,Field/Agriculture,0.613733283492139,Field/Agriculture,3.84794366927824,262166,24.7117530841854,0.00457725258042614,95.285048404446,3.84794366927824,0.613733283492139,0.248697390203154,0.862430673695292,4.71037434297354,1.2358895457122,552887,52.1150989352396,0.000723475140489829,97.0124094073473,2.46686936028519,0.292464825543013,0.227532931684051,0.519997757227064,2.98686711751226,1.25027249606395,126637,11.9367968208005,0,99.7259884551908,0.269273593025735,0.00473795178344402,0,0.00473795178344402,0.274011544809179,1.01729106628242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2025-08-04,2025-07-22,2025-08-04,square_10km_allbands_before_006_20250722.tif,square_10km_allbands_after_006_20250804.tif,1013040,0,0,196211,19.3685343125642,0.0327726447129432,80.5986930427229,74.1339680242188,17.1325766649168,8.73345531086432,Low Severity,MODERATE (10-50%),MINOR (<10% high severity),0.07141835,0.003729424,0.06768893,Yes,Field/Agriculture,89.1838426913054,Coniferous Forest,3.12451249136413,Coniferous Forest,5.72753003053197,Field/Agriculture,15.3777444248164,903468,89.1838426913054,0.0356404432697118,79.5696139763666,15.3777444248164,3.38440321073906,1.63259794480823,5.01700115554729,20.3947455803637,1.32604471941821,44871,4.42934138829661,0.0222861090682178,78.5875064072564,12.5381649617793,5.72753003053197,3.12451249136413,8.8520425218961,21.3902074836754,1.55990831423213,59181,5.84192134565269,0,97.4096416079485,0.831347898818878,0.422432875416096,1.33657761781653,1.75901049323263,2.5903583920515,2.19504240052185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2025-10-19,2025-09-16,2025-10-19,square_10km_allbands_before_007_20250916.tif,square_10km_allbands_after_007_20251019.tif,1001392,59504,5.60884384520255,417166,41.6586112131912,0.600464153897774,57.740924632911,95.9519711577645,3.98953893653845,0.0584899056970127,Low Severity,MODERATE (10-50%),MINOR (<10% high severity),-0.09296415,-0.16905169,0.07608756,Yes,Field/Agriculture,93.4614017287935,Coniferous Forest,0.0306344392365898,Field/Agriculture,1.71917321551637,Field/Agriculture,41.7921499281452,935915,88.2192976502881,0.502930287472687,55.9619196187688,41.7921499281452,1.71917321551637,0.0238269500969639,1.74300016561333,43.5351500937585,1.04058392154168,65286,6.15385485476428,1.98664338449285,83.1679073614558,13.9708360138468,0.843978800968048,0.0306344392365898,0.874613240204638,14.8454492540514,1.06097812628972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2025-08-07,2025-07-21,2025-08-07,square_10km_allbands_before_008_20250721.tif,square_10km_allbands_after_008_20250807.tif,1017062,21295,2.05083608046173,151167,14.8631056907052,1.21182386127886,83.9250704480159,46.8554644862966,15.6945629667851,37.4499725469183,Low Severity,MODERATE (10-50%),CATASTROPHIC (>20% high severity),0.35098672,0.30279228,0.048194326,Yes,Deciduous Forest,59.9704836086689,Coniferous Forest,9.81090037102424,Coniferous Forest,3.59412025716794,Field/Agriculture,19.7189503076928,296887,28.5919967795277,2.56158066873928,70.4918032786885,19.7189503076928,1.42040574359942,5.80726000127995,7.22766574487937,26.9466160525722,1.48373145335683,105923,10.2010194952218,0.962019580261133,83.1339746797202,2.49898511182652,3.59412025716794,9.81090037102424,13.4050206281922,15.9040057400187,2.45975305710554,609937,58.7405872931949,0.601865438561688,90.5924710256961,1.55753790965296,2.55485402590759,4.69327160018166,7.24812562608925,8.80566353574222,2.35610419110391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2025-07-18,2025-07-03,2025-07-18,square_10km_allbands_before_009_20250703.tif,square_10km_allbands_after_009_20250718.tif,1035304,0,0,36452,3.520898209608,0.229884169287475,96.2492176211045,66.3063755075167,25.2112366948316,8.48238779765171,Low Severity,MINOR (<10%),MINOR (<10% high severity),0.27876487,0.2583267,0.020438105,Yes,Field/Agriculture,44.8749352847086,Coniferous Forest,0.490269721630861,Deciduous Forest,1.86427912278797,Deciduous Forest,3.79200141135599,464592,44.8749352847086,0.486233081929951,97.5899283672556,1.37841374797672,0.424673692185832,0.120751110651927,0.545424802837759,1.92383855081448,1.34627433430298,272911,26.3604699682412,0.0190538307360275,96.4816368706282,2.39015649790591,0.618883079099047,0.490269721630861,1.10915280072991,3.49930929863582,1.45706806282723,294752,28.4700918763957,0.0230702421018348,93.9182770600369,3.79200141135599,1.86427912278797,0.402372163717295,2.26665128650527,6.05865269786125,1.44053085451898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2025-08-04,2025-07-13,2025-08-04,square_10km_allbands_before_010_20250713.tif,square_10km_allbands_after_010_20250804.tif,1013040,0,0,522918,51.6186922530206,0.490799968411909,47.8905077785675,84.6174734853266,13.8350563568284,1.54747015784502,Low Severity,EXTENSIVE (>50%),MINOR (<10% high severity),0.15089491,0.045666095,0.10522875,Yes,Field/Agriculture,86.4291637052831,Field/Agriculture,0.825983768139778,Field/Agriculture,7.91457372521877,Field/Agriculture,49.6309798734984,875562,86.4291637052831,0.434578019603409,41.1938846135396,49.6309798734984,7.91457372521877,0.825983768139778,8.74055749335855,58.3715373668569,1.16389051399099,137371,13.5602740266919,0.849524280961775,90.5409438673374,5.76540900189996,2.21880891891302,0.625313930887888,2.8441228498009,8.60953185170087,1.40297624080494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
